"Phoneme","Feature","Value","Weight"
"d","Vocalic",0,0
"d","Vocalic",1,1
"d","Vocalic",2,0
"d","Vocalic",3,0
"d","Vocalic",4,0
"d","Vocalic",5,0
"d","Vocalic",6,0
"d","Vocalic",7,0
"d","Vocalic",8,0
"d","Voiced",0,0
"d","Voiced",1,0
"d","Voiced",2,0
"d","Voiced",3,0
"d","Voiced",4,0
"d","Voiced",5,0
"d","Voiced",6,0
"d","Voiced",7,1
"d","Voiced",8,0
"k","Acute",0,0
"k","Acute",1,0.1
"k","Acute",2,0.3
"k","Acute",3,1
"k","Acute",4,0.3
"k","Acute",5,0.1
"k","Acute",6,0
"k","Acute",7,0
"k","Acute",8,0
"k","Burst",0,0
"k","Burst",1,0
"k","Burst",2,0
"k","Burst",3,0.2
"k","Burst",4,1
"k","Burst",5,0
"k","Burst",6,0
"k","Burst",7,0
"k","Burst",8,0
"k","Consonantal",0,0
"k","Consonantal",1,0
"k","Consonantal",2,0
"k","Consonantal",3,0
"k","Consonantal",4,0
"k","Consonantal",5,0
"k","Consonantal",6,0
"k","Consonantal",7,0
"k","Consonantal",8,1
"k","Diffuse",0,0
"k","Diffuse",1,0
"k","Diffuse",2,1
"k","Diffuse",3,0
"k","Diffuse",4,0
"k","Diffuse",5,0
"k","Diffuse",6,0
"k","Diffuse",7,0
"k","Diffuse",8,0
"k","Power",0,0
"k","Power",1,0
"k","Power",2,0
"k","Power",3,0
"k","Power",4,1
"k","Power",5,0
"k","Power",6,0
"k","Power",7,0
"k","Power",8,0
"k","Vocalic",0,0
"k","Vocalic",1,1
"k","Vocalic",2,0
"k","Vocalic",3,0
"k","Vocalic",4,0
"k","Vocalic",5,0
"k","Vocalic",6,0
"k","Vocalic",7,0
"k","Vocalic",8,0
"k","Voiced",0,0
"k","Voiced",1,1
"k","Voiced",2,0
"k","Voiced",3,0
"k","Voiced",4,0
"k","Voiced",5,0
"k","Voiced",6,0
"k","Voiced",7,0
"k","Voiced",8,0
"g","Acute",0,0
"g","Acute",1,0.1
"g","Acute",2,0.3
"g","Acute",3,1
"g","Acute",4,0.3
"g","Acute",5,0.1
"g","Acute",6,0
"g","Acute",7,0
"g","Acute",8,0
"g","Burst",0,0
"g","Burst",1,0
"g","Burst",2,0
"g","Burst",3,1
"g","Burst",4,0.2
"g","Burst",5,0
"g","Burst",6,0
"g","Burst",7,0
"g","Burst",8,0
"g","Consonantal",0,0
"g","Consonantal",1,0
"g","Consonantal",2,0
"g","Consonantal",3,0
"g","Consonantal",4,0
"g","Consonantal",5,0
"g","Consonantal",6,0
"g","Consonantal",7,0
"g","Consonantal",8,1
"g","Diffuse",0,0
"g","Diffuse",1,0
"g","Diffuse",2,1
"g","Diffuse",3,0
"g","Diffuse",4,0
"g","Diffuse",5,0
"g","Diffuse",6,0
"g","Diffuse",7,0
"g","Diffuse",8,0
"g","Power",0,0
"g","Power",1,0
"g","Power",2,0
"g","Power",3,0
"g","Power",4,1
"g","Power",5,0
"g","Power",6,0
"g","Power",7,0
"g","Power",8,0
"g","Vocalic",0,0
"g","Vocalic",1,1
"g","Vocalic",2,0
"g","Vocalic",3,0
"g","Vocalic",4,0
"g","Vocalic",5,0
"g","Vocalic",6,0
"g","Vocalic",7,0
"g","Vocalic",8,0
"g","Voiced",0,0
"g","Voiced",1,0
"g","Voiced",2,0
"g","Voiced",3,0
"g","Voiced",4,0
"g","Voiced",5,0
"g","Voiced",6,0
"g","Voiced",7,1
"g","Voiced",8,0
"s","Acute",0,0
"s","Acute",1,0
"s","Acute",2,0
"s","Acute",3,0
"s","Acute",4,0
"s","Acute",5,0
"s","Acute",6,0.1
"s","Acute",7,0.3
"s","Acute",8,1
"s","Burst",0,0
"s","Burst",1,0
"s","Burst",2,0
"s","Burst",3,0
"s","Burst",4,0
"s","Burst",5,0
"s","Burst",6,0
"s","Burst",7,0
"s","Burst",8,0
"s","Consonantal",0,0
"s","Consonantal",1,0
"s","Consonantal",2,0
"s","Consonantal",3,0
"s","Consonantal",4,0
"s","Consonantal",5,1
"s","Consonantal",6,0
"s","Consonantal",7,0
"s","Consonantal",8,0
"s","Diffuse",0,0
"s","Diffuse",1,0
"s","Diffuse",2,0
"s","Diffuse",3,0
"s","Diffuse",4,0
